0502;7070276066461;41783026;;FURU 36X148 CUIMP K-VIRKE C24;8960;3550;LM;;KONSTRUKSJONSVIRKE CU-IMPREGNE;LM;1;;6036;54185838;;;1;;0
0502;7070276072578;42807081;;FURU 36X198 CUIMP K-VIRKE C24;13120;4733;LM;;KONSTRUKSJONSVIRKE CU-IMPREGNE;LM;1;;6391;54186137;;;1;;0
0502;7070276072585;42807183;;FURU 48X098 CUIMP K-VIRKE C24;7600;2848;LM;;KONSTRUKSJONSVIRKE CU-IMPREGNE;LM;1;;6252;54186194;;;1;;0
0502;7070276072608;42807134;;FURU 48X148 CUIMP K-VIRKE C24;11680;4269;LM;;KONSTRUKSJONSVIRKE CU-IMPREGNE;LM;1;;6345;54186156;;;1;;0
0502;7070276072615;42807164;;FURU 48X198 CUIMP K-VIRKE C24;16400;5693;LM;;KONSTRUKSJONSVIRKE CU-IMPREGNE;LM;1;;6528;54186175;;;1;;0
0502;7070276072646;42807217;;FURU 98X098 CUIMP K-VIRKE C24;18720;8463;LM;;KONSTRUKSJONSVIRKE CU-IMPREGNE;LM;1;;5478;54186205;;;1;;0
0504;7090033776044;54223680;;FURU 19X098 CUIMP REKT KLED GR;6624;2792;LM;;GRUNNET 3 SIDER;LM;1;;5785;54223680;;;1;;0
0504;7071536008153;23533706;;FURU 19X098 REKT KLED BRUN ROY;5152;3215;LM;;MØRE ROYAL BRUN RB.10;LM;1;;3757;23533706;;;1;;0
0504;7090033776051;54223676;;FURU 19X123 CUIMP REKT KLED GR;7240;3421;LM;;GRUNNET 3 SIDER;LM;1;;5274;54223676;;;1;;0
0504;7071536008221;23533748;;FURU 19X123 REKT KLED BRUN ROY;6440;4019;LM;;MØRE ROYAL BRUN RB.10;LM;1;;3757;23533748;;;1;;0
0504;7090033775788;54224266;;FURU 19X148 CUIMP D-FALS STAFF;7680;3161;LM;;28G SKRE;LM;1;;5882;54224266;;;1;;0
0504;7090033777119;54223733;;FURU 19X148 CUIMP D-FALS 28G G;8480;3674;LM;;GRUNNET HVIT 3 SIDER;LM;1;;5666;54223733;;;1;;0
0504;7090033777195;54223695;;FURU 19X148 CUIMP E-FALS GR;8560;3708;LM;;GRUNNET HVIT 3 SIDER;LM;1;;5668;54223695;;;1;;0
0504;7090033776037;54223744;;FURU 19X148 CUIMP REKT KLED GR;8080;3827;LM;;GRUNNET 3 SIDER;LM;1;;5263;54223744;;;1;;0
0504;7071536009860;23533425;;FURU 19X148 DF EP 28° BRUN ROY;6536;3777;LM;;MØRE ROYAL BRUN RB.10;LM;1;;4219;23533425;;;1;;0
0504;7040431810789;54230173;;FURU 19X148 EFALS KL1 CUIMP;6328;2981;LM;;IMPREGNERT;LM;1;;5287;54230173;;;1;;0
0504;7070276069479;54184718;;FURU 19X148 IMP DF 60G;7040;2736;LM;;KLEDNING DOBBELFALS NY CUIMP;LM;1;;6113;54184718;;;1;;0
0504;7090033777133;54223725;;FURU 19X148 IMP DF 60G GRUN;8480;3674;LM;;GRUNNET HVIT 3 SIDER CUIMP;LM;1;;5666;54223725;;;1;;0
0504;7071536008290;23533789;;FURU 19X148 REKT KLED BRUN ROY;6536;4079;LM;;MØRE ROYAL BRUN RB.10;LM;1;;3759;23533789;;;1;;0
0504;2007000780008;00010337;;FURU 29X098 KLEDN CUIMP 1/4S G;8720;3715;LM;;;LM;1;;5739;00010337;;;1;;0
0504;2007000800003;00010339;;FURU 29X148 KLEDN CUIMP 1/4S G;11920;5454;LM;;;LM;1;;5424;00010339;;;1;;0
0504;7040431882229;43235833;;GRAN 19X148 DFALS 60G VISIR;5744;2409;LM;;GRUNNET 3 SIDIG VISIR;LM;1;;5806;43235833;;;1;;0
0504;7070276148495;50507713;;GRAN 19X148 DF 60 MEL;7160;3617;LM;;DOBBELFALS KLEDNING KL.1 MELLO;LM;1;;4948;50507713;;;1;;0
0504;7070276022764;25386400;;FURU 19X098 REKTKLED IMP KL1;5072;1958;LM;;REKTANGULÆR CU-IMPREGNERT TØRK;LM;1;;6137;54183432;;;1;;0
0504;7070276021903;25410846;;FURU 19X148 DF 28 IMP KL1;7120;2894;LM;;KLEDNING DOBBELFALS GAMMEL;LM;1;;5934;54184722;;;1;;0
0504;7070276022818;25410689;;FURU 22X098 REKTKLED IMP KL1;5336;2140;LM;;REKTANGULÆR CU-IMPREGNERT TØRK;LM;1;;5987;54185017;;;1;;0
0504;7070276022856;25410721;;FURU 22X198 REKTKLED IMP KL1;10560;4279;LM;;REKTANGULÆR CU-IMPREGNERT TØRK;LM;1;;5947;54184041;;;1;;0
0504;7070276022771;25386418;;FURU 19X123 REKTKLED IMP KL1;5816;2402;LM;;REKTANGULÆR CU-IMPREGNERT TØRK;LM;1;;5870;54184177;;;1;;0
0504;7070276022788;25386426;;FURU 19X148 REKTKLED IMP KL1;6680;2825;LM;;REKTANGULÆR CU-IMPREGNERT TØRK;LM;1;;5769;54184162;;;1;;0
0504;7070276022832;25410705;;FURU 22X148 REKTKLED IMP KL1;7704;3207;LM;;REKTANGULÆR CU-IMPREGNERT TØRK;LM;1;;5837;54184582;;;1;;0
0505;7040431811076;54228493;;FURU 12X120 SKYGGE SKRÅ NATUR;4664;3592;LM;;UBEHANDLET;LM;1;;2298;54228493;;;1;;0
0505;7040431919772;52075266;;FURU 13X145 GLATT NATUR;5808;4531;LM;;;LM;1;;2197;52075266;;;1;;0
0505;7040431811618;54228512;;GRAN 12X120 FASPANEL NATUR;4728;3465;LM;;UBEHANDLET;LM;1;;2671;54228512;;;1;;0
0505;7071360525222;57991693;;SKYGGE SKRÅ 13X120X4,85 CELLO;207200;123920;PAK;;2,95M2/PAK FURU S0502Y BOMULL;PAK;1;;4019;57991693;;;1;;0
0506;7071536088421;57739318;;FURU 28X095 TER CONCISE GRÅ RO;6720;2392;LM;;MØRE ROYAL GRÅ RG.25;LM;1;;6440;57739318;;;1;;0
0506;7071536016332;47258521;;FURU 28X120 TER UNO GRÅ ROYAL;7776;3992;LM;;MØRE ROYAL GRÅ RG.25;LM;1;;4866;47258521;;;1;;0
0506;7071536012990;43983376;;FURU 28X145 TER DUO BRUN ROYAL;9360;5262;LM;;MØRE ROYAL BRUN RB.10;LM;1;;4378;43983376;;;1;;0
0506;7071536077951;56631006;;FURU 34X145 ALTAN FL CONCISE B;16000;8851;LM;;MØRE ROYAL BRUN RB.10;LM;1;;4468;56631006;;;1;;0
0506;7071536005282;23420763;;FURU 48X148 JUST BRUN ROYAL;15680;9825;LM;;MØRE ROYAL BRUN RB.10;LM;1;;3734;23420763;;;1;;0
0506;7071536015793;46167520;;FURU 7X7X200 MULTISTOLP ENDE B;36720;8000;STK;;MØRE ROYAL RB.10;STK;1;;7821;46167520;;;1;;0
0506;7071536015809;46167535;;FURU 7X7X200 MULTISTOLP SKJØTE;36720;8000;STK;;MØRE ROYAL RB.10;STK;1;;7821;46167535;;;1;;0
0506;7071536020872;49213178;;FURU 7X7X200 MULTISTOLP SKJØTE;39920;8000;STK;;MØRE ROYAL RG.25;STK;1;;7995;49213178;;;1;;0
0506;7047840010311;22335632;;TREKILER 120MM BUNTET;2232;1768;BNT;;BUNTER  12STK KILER;BNT;1;;2078;22335632;;;1;;0
0506;7071536056550;53659998;;FURU 28X120 TER  CONCISE GRÅ R;7776;4385;LM;;MØRE ROYAL GRÅ RG.25;LM;1;;4359;53659998;;;1;;0
0506;7071536056536;53659972;;FURU 28X120 TER  CONCISE BRUN;7776;3992;LM;;MØRE ROYAL BRUN RB.10;LM;1;;4866;53659972;;;1;;0
0506;7071536012945;43983274;;FURU 28X120 TER DUO BRUN ROYA;7776;3992;LM;;MØRE ROYAL BRUN RB.10;LM;1;;4866;43983274;;;1;;0
0506;7071859002395;23304215;;FURU 28X120 TERR ROYAL BRUN;5608;3032;LM;;ALVDAL ROYAL BRUN;LM;1;;4593;23304215;;;1;;0
0506;7071536088780;57741486;;FURU 28X145 TER CONCISE GRÅ RO;9360;5262;LM;;MØRE ROYAL GRÅ RG.25;LM;1;;4378;57741486;;;1;;0
0506;7071536016349;47258536;;FURU 28X145 TER UNO GRÅ ROYAL;9360;5262;LM;;MØRE ROYAL GRÅ RG.25;LM;1;;4378;47258536;;;1;;0
0506;7071536088766;57741195;;FURU 28X145 TER CONCISE BRUN R;9360;5262;LM;;MØRE ROYAL BRUN RB.10;LM;1;;4378;57741195;;;1;;0
0506;7071536077975;56631025;;FURU 34X145 ALTAN FL CONCISE G;16000;8851;LM;;MØRE ROYAL GRÅ RG.25;LM;1;;4468;56631025;;;1;;0
0506;7070276015513;21728803;;G-F 18X120 UNDERPANEL;3416;1586;LM;;RUPANEL ENDEPLØYD;LM;1;;5357;54183776;;;1;;0
0506;7070276047507;25410911;;FURU 21X095 CUIMP TERRASSE KL1;3424;1672;LM;;TERRASSEBORD IMPREGNERT;LM;1;;5116;54183356;;;1;;0
0506;7070276047569;25410978;;FURU 28X120 CUIMP TERRASSE KL1;5464;1717;LM;;TERRASSEBORD IMPREGNERT;LM;1;;6857;54185161;;;1;;0
0506;7070276047620;25411000;;FURU 34X145 CUIMP ALTANR RUND;16160;9120;LM;;ALTANREKKE RUND;LM;1;;4356;54185195;;;1;;0
0508;7071859011373;23303795;;FURU 06X175 GJERDESTOLPE IMP;5760;3423;STK;;CU GJERDESTOLPE 06X175;STK;1;;4055;23303795;;;1;;0
0508;7071536020858;49213152;;FURU 7X7X200 MULTISTOLP HJØRNE;47920;29902;STK;;MØRE ROYAL RG.25;STK;1;;3760;49213152;;;1;;0
0509;7071129101230;24408858;;GRAN 90X090 LIMTRE SØRLAMINERI;22400;16449;LM;;;LM;1;;2656;24408858;;;1;;0
0510;7040432302542;54227736;;FURU 10X058 GULV STANDARD UBH;4064;2200;LM;;STANDARD GULVLIST UBEHANDLET;LM;1;;4586;54227736;;;1;;0
0510;7040431874705;41747542;;FURU 10X058X3600 GULV STANDARD;15120;8382;STK;; UBEHANDLET STANDARD GULVLIST;STK;1;;4455;41747542;;;1;;0
0510;7040431874651;41747493;;FURU 10X058X3600 KARM STANDARD;15120;8382;STK;; UBH  STANDARD KARMLIST UBEH;STK;1;;4455;41747493;;;1;;0
0510;7040438191683;56813994;;FURU 15X015X2700 KVARTSTAFF UB;13520;6805;STK;;UBEHANDLET;STK;1;;4966;56813994;;;1;;0
